auto_id,event_id,latitude,odometer,longitude,timestamp,fuel_level,door_status,EventMessage,engine_speed,vehicle_speed,EventCategoryID,headlamp_status,ignition_status,high_beam_status,brake_pedal_status,gear_lever_position,parking_brake_status,steering_wheel_angle,torque_at_transmission,windshield_wiper_status,accelerator_pedal_position,transmission_gear_position,fuel_consumed_since_restart,event_date,speed_category,driving_mode,fuel_alert,is_braking,is_accelerating,created_at,updated_at
2,2,40.77092,13966.579,-73.953773,2017-12-27 22:32:19.012,89.674202,driver,batch,776,0.0,2,True,off,True,True,drive,True,-2.799927,2,True,0.0,first,7.732804,2017-12-27,stop,parked,False,True,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,3,40.77092,13966.579,-73.953773,2017-12-27 22:32:29.016,89.674202,driver,batch,782,0.0,2,True,off,True,True,drive,True,-2.799927,3,True,0.0,first,7.735866,2017-12-27,stop,parked,False,True,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,4,40.77092,13966.579,-73.953773,2017-12-27 22:32:39.017,89.674202,driver,batch,766,0.0,2,True,off,True,True,drive,True,-2.799927,4,True,0.0,first,7.738927,2017-12-27,stop,parked,False,True,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,5,40.770866,13966.581,-73.953728,2017-12-27 22:32:49.045,89.674202,driver,batch,752,0.82,2,True,off,True,False,drive,True,-421.199951,23,True,3.8,first,7.74272,2017-12-27,slow,driving,False,False,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,6,40.770882,13966.592,-73.953613,2017-12-27 22:32:59.047,89.565506,driver,batch,774,2.35,2,True,off,True,True,drive,True,336.5,20,True,0.0,first,7.748193,2017-12-27,slow,driving,False,True,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,7,40.771103,13966.621,-73.953766,2017-12-27 22:33:09.051,89.239418,driver,batch,1680,19.1,2,True,off,True,False,drive,True,34.099976,45,True,9.3,second,7.757445,2017-12-27,slow,driving,False,False,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,8,40.771297,13966.671,-73.954338,2017-12-27 22:33:19.052,89.239418,driver,batch,1280,21.24,2,True,off,True,False,drive,True,1.300049,37,True,8.6,third,7.765817,2017-12-27,slow,driving,False,False,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,9,40.771561,13966.731,-73.955002,2017-12-27 22:33:29.053,88.91333,driver,batch,1192,20.789999,2,True,off,True,False,drive,True,2.200073,25,True,6.3,third,7.771591,2017-12-27,slow,driving,False,False,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,10,40.77182,13966.785,-73.955582,2017-12-27 22:33:39.057,88.695938,driver,batch,776,15.059999,2,True,off,True,False,drive,True,3.5,5,True,0.0,third,7.776284,2017-12-27,slow,driving,False,False,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,11,40.772057,13966.84,-73.956139,2017-12-27 22:33:49.060,88.36985,driver,batch,1656,27.76,2,True,off,True,False,drive,True,-11.799927,64,True,13.3,third,7.788933,2017-12-27,slow,driving,False,False,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,12,40.772343,13966.895,-73.956757,2017-12-27 22:33:59.062,88.36985,driver,batch,794,5.21,2,True,off,True,True,drive,True,9.200073,17,True,0.0,first,7.792823,2017-12-27,slow,driving,False,True,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,13,40.772362,13966.896,-73.956787,2017-12-27 22:34:09.066,88.043762,rear_left,batch,772,0.0,2,True,off,True,True,drive,True,-5.900024,17,True,0.0,first,7.796642,2017-12-27,stop,parked,False,True,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,14,40.772362,13966.896,-73.956795,2017-12-27 22:34:19.069,87.608978,rear_left,batch,1140,4.65,2,True,off,True,False,drive,True,8.300049,26,True,7.0,first,7.800911,2017-12-27,slow,driving,False,False,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,15,40.772518,13966.938,-73.957169,2017-12-27 22:34:29.070,87.174194,rear_left,batch,2120,25.369999,2,True,off,True,False,drive,True,-0.9000239999999999,42,True,9.1,third,7.813714,2017-12-27,slow,driving,False,False,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,16,40.772827,13967.005,-73.957909,2017-12-27 22:34:39.076,87.065498,rear_left,batch,870,16.77,2,True,off,True,True,drive,True,3.700073,1,True,0.0,third,7.81928,2017-12-27,slow,driving,False,True,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,17,40.772911,13967.017,-73.958076,2017-12-27 22:34:49.077,87.065498,rear_left,batch,770,0.0,2,True,off,True,True,drive,True,-4.400024,16,True,0.0,first,7.822973,2017-12-27,stop,parked,False,True,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,18,40.772911,13967.017,-73.958076,2017-12-27 22:34:59.097,86.848106,rear_left,batch,772,0.0,2,True,off,True,True,drive,True,-4.099976,17,True,0.0,first,7.826766,2017-12-27,stop,parked,False,True,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,19,40.772911,13967.017,-73.958076,2017-12-27 22:35:09.101,86.413322,rear_left,batch,776,0.0,2,True,off,True,True,drive,True,-3.900024,16,True,0.0,first,7.830585,2017-12-27,stop,parked,False,True,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,20,40.772911,13967.017,-73.958076,2017-12-27 22:35:19.104,85.978539,rear_left,batch,772,0.0,2,True,off,True,True,drive,True,-3.900024,17,True,0.0,first,7.834404,2017-12-27,stop,parked,False,True,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,21,40.773022,13967.053,-73.958374,2017-12-27 22:35:29.109,85.652451,rear_left,batch,2504,37.799999,2,True,off,True,False,drive,True,-4.400024,156,True,33.600002,third,7.855702,2017-12-27,normal,driving,False,False,True,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,22,40.773472,13967.144,-73.959373,2017-12-27 22:35:39.110,85.652451,rear_left,batch,784,15.65,2,True,off,True,True,drive,True,-2.199951,3,True,0.0,third,7.862589,2017-12-27,slow,driving,False,True,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,23,40.77354,13967.154,-73.959534,2017-12-27 22:35:49.116,85.652451,rear_left,batch,774,0.0,2,True,off,True,True,drive,True,-5.199951,16,True,0.0,first,7.866383,2017-12-27,stop,parked,False,True,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,24,40.77354,13967.154,-73.959534,2017-12-27 22:35:59.120,85.652451,rear_left,batch,768,0.0,2,True,off,True,True,drive,True,-4.900024,17,True,0.0,first,7.870126,2017-12-27,stop,parked,False,True,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,25,40.773582,13967.163,-73.95961,2017-12-27 22:36:09.124,85.652451,rear_left,batch,794,4.75,2,True,off,True,True,drive,True,-1.099976,19,True,0.0,first,7.875421,2017-12-27,slow,driving,False,True,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
2,26,40.773594,13967.167,-73.959663,2017-12-27 22:36:19.128,85.652451,rear_left,batch,1132,5.28,2,True,off,True,False,drive,True,-0.299927,56,True,11.2,first,7.879791,2017-12-27,slow,driving,False,False,False,2026-05-22 14:06:36.119153,2026-05-22 14:06:36.119886
